dest_iso,dest_country,total_fob_usd,india_share_pct,realised_usd_per_kg,price_vs_portfolio_pct,recent_shift_pct,n_active_months,fta_status,world_import_usd,world_import_usd_last,india_share_of_market_pct,addressable_usd,pivot_score,shift_flag
SRB,Serbia,12724.51,0.0,1.2646,-22.7,,2,MFN,52393744.0,8328064.0,0.0,52393744.0,,
SVN,Slovenia,138598.5,0.01,1.5378,-6.0,-100.0,5,MFN,21319088.56,2850903.48,0.7,21169854.94,,
SWE,Sweden,142211.81,0.01,1.5983,-2.3,-100.0,3,MFN,73538683.38,9489314.51,0.2,73391606.01,,
SYC,Seychelles,685.1,0.0,1.4328,-12.4,,2,MFN,,,,,,
SYR,Syria,1858899.19,0.09,1.6564,1.3,89.5,29,MFN,,,,,,
TCA,Turks and Caicos Isds,11773.38,0.0,0.6926,-57.7,,1,MFN,,,,,,
TJK,Tajikistan,70644.24,0.0,1.7729,8.4,-100.0,2,MFN,,,,,,
TKM,Turkmenistan,92191.73,0.0,1.4116,-13.7,1805.8,4,MFN,,,,,,
TTO,Trinidad and Tobago,113047.71,0.01,1.2287,-24.9,,5,MFN,670536.4,126166.04,16.9,557215.75,,
TUN,Tunisia,1588262.33,0.08,4.1989,156.7,-21.1,29,MFN,1175555.92,,100.0,0.0,,
TZA,United Rep. of Tanzania,988481.11,0.05,1.7443,6.6,75.7,47,MFN,195294.87,,100.0,0.0,,
UGA,Uganda,99729.26,0.0,1.625,-0.7,-99.2,14,MFN,13907.44,,100.0,0.0,,
URY,Uruguay,558261.65,0.03,1.5804,-3.4,2.0,30,MFN,6069300.88,,9.2,5510925.2,,
UZB,Uzbekistan,2789.76,0.0,3.4872,113.2,,1,MFN,736055.95,188050.99,0.4,733111.73,,
VEN,Venezuela,414717.95,0.02,1.533,-6.3,249.5,16,MFN,,,,,,
YEM,Yemen,587174.04,0.03,1.3685,-16.3,515.3,20,MFN,,,,,,
ZMB,Zambia,144926.08,0.01,1.6256,-0.6,6493.8,10,MFN,27074915.24,,0.5,26939540.66,,
ZWE,Zimbabwe,143605.16,0.01,2.6492,62.0,-100.0,5,MFN,522051.73,104616.41,27.5,378487.5,,
